CGNDB ID,Geographical Name,Generic Term,Latitude,Longitude,Province - Territory
BAAFX,48 Road,Locality,46.2557110,-62.7144720,Prince Edward Island
BADOH,Abegweit Passage,Passage,46.2167000,-63.7500000,Prince Edward Island
BADOI,Abells Cape,Cape,46.3252400,-62.3425070,Prince Edward Island
BADOL,Abney,Locality,45.9942800,-62.5697330,Prince Edward Island
BAEYT,Abram-Village,Community,46.4500000,-64.0833330,Prince Edward Island
BAEAJ,Adams Creek,Creek,46.4996720,-63.4992330,Prince Edward Island
BADON,Adams Pond,Pond,46.5514450,-63.6073620,Prince Edward Island
BAEDL,Afton,Community,46.1701500,-63.2032400,Prince Edward Island
BADOO,Afton Lake,Lake,46.3965280,-62.9208220,Prince Edward Island
BADOP,Afton Road,Locality,46.3784410,-62.9254120,Prince Edward Island
BADOR,Aitken Point,Point,46.1727870,-62.5477840,Prince Edward Island
BADOS,Alaska,Locality,46.6169810,-64.1086770,Prince Edward Island
BADXP,Albany,Locality,46.2860520,-63.6438340,Prince Edward Island
BADOT,Albany Corner,Locality,46.2797300,-63.6250430,Prince Edward Island
BADOV,Alberry Plains,Locality,46.2132370,-62.7924010,Prince Edward Island
BADOW,Alberton,Town,46.8128040,-64.0652970,Prince Edward Island
BACTV,Alberton Creek,Creek,46.8000000,-64.0666670,Prince Edward Island
BADOX,Alberton Harbour,Harbour,46.7964820,-64.0514260,Prince Edward Island
BADOY,Alberton South,Locality,46.7972220,-64.0777780,Prince Edward Island
BADOZ,Albion,Locality,46.1314220,-62.5545170,Prince Edward Island
BADPA,Albion Cross,Locality,46.3357710,-62.4869190,Prince Edward Island
BADPB,Alchorn Point,Point,46.1958630,-63.1311840,Prince Edward Island
BAEDX,Alexandra,Community,46.1958330,-63.0319440,Prince Edward Island
BADPC,Alexandra,Locality,46.1959100,-63.0194790,Prince Edward Island
BADPD,Alexandra Bay,Bay,46.1813620,-63.0345430,Prince Edward Island
BAEWQ,Alexandra Point,Point,46.1866670,-63.0516670,Prince Edward Island
BAEWS,Alexandra Point Range,Canadian Forces Range and/or Training Area (C.F.T.A.),46.1902780,-63.0500000,Prince Edward Island
BAEWR,Alexandra Shoal,Shoal,46.1666670,-63.0500000,Prince Edward Island
BADPF,Allisary,Locality,46.3635640,-62.8513460,Prince Edward Island
BACTW,Allisary Creek,Creek,46.3716000,-62.8534710,Prince Edward Island
BADPG,Alliston,Locality,46.0584060,-62.6067010,Prince Edward Island
BADPH,Alma,Locality,46.8614830,-64.1095420,Prince Edward Island
BADPI,Amherst Cove,Cove,46.2436080,-63.6734840,Prince Edward Island
BADPJ,Amherst Point,Point,46.2408340,-63.6799740,Prince Edward Island
BACTX,Andersons Creek,Creek,46.4685480,-63.4477830,Prince Edward Island
BADPL,Andrews Pond,Pond,46.2739780,-63.1106560,Prince Edward Island
BADPO,Anglo Rustico,Locality,46.4422440,-63.2948590,Prince Edward Island
BADPP,Anglo Tignish,Locality,46.9757820,-63.9957180,Prince Edward Island
BADXR,Annandale,Locality,46.2608520,-62.4236880,Prince Edward Island
BAEJJ,Annandale-Little Pond-Howe Bay,Community,46.2896300,-62.4132400,Prince Edward Island
BADPR,Appin Road,Locality,46.2408080,-63.3967540,Prince Edward Island
BACTY,Appletree Creek,Creek,46.3039440,-63.0220410,Prince Edward Island
BAEYB,Ardgowan National Historic Site of Canada,National Historic Site,46.2500000,-63.1333330,Prince Edward Island
BADPT,Argyle Provincial Park,Provincial Park,46.1666670,-63.3833330,Prince Edward Island
BADPS,Argyle Shore,Locality,46.1645660,-63.3507920,Prince Edward Island
BADPU,Arlington,Locality,46.5292850,-63.9114950,Prince Edward Island
BADPW,Arsenault Pond,Pond,46.4794200,-64.0931260,Prince Edward Island
BADPX,Arsenaults Pond,Pond,46.9410370,-64.0403380,Prince Edward Island
BADPY,Ascension,Locality,46.9592690,-64.0646920,Prince Edward Island
BACTZ,Ashleys Creek,Creek,46.7833330,-64.0833330,Prince Edward Island
BADPZ,Ashton,Former Railway Point,46.4241060,-62.5120030,Prince Edward Island
BADQA,Astyanax Rock,Rock,46.1500000,-63.0666670,Prince Edward Island
BADQB,Auburn,Locality,46.2936410,-62.9079480,Prince Edward Island
BADQE,Augustine Cove,Locality,46.2249840,-63.6081860,Prince Edward Island
BADQD,Augustine Cove,Cove,46.2170320,-63.6091100,Prince Edward Island
BADQG,Augustus,Former Railway Point,46.3283390,-62.8909360,Prince Edward Island
BACUA,Auld Creek,Creek,46.3991770,-63.1218790,Prince Edward Island
BAAFZ,Avondale,Locality,46.2434250,-62.8320190,Prince Edward Island
BAAGB,Bacon Cove,Cove,46.1520100,-63.2172490,Prince Edward Island
BAAGD,Baglole Point,Point,46.4893410,-63.9187750,Prince Edward Island
BAAGE,Bagnalls Pond,Pond,46.3576190,-63.3494650,Prince Edward Island
BAEYX,Baie-Egmont,Locality,46.4833330,-64.1000000,Prince Edward Island
BACUE,Bains Creek,Creek,46.9716740,-63.9932470,Prince Edward Island
BAAGF,Bakers Cove,Cove,46.3661180,-63.7563580,Prince Edward Island
BAAGI,Bald Point,Point,46.5414820,-63.8612250,Prince Edward Island
BAAGH,Balderstons Pond,Pond,46.3036600,-63.3361620,Prince Edward Island
BAAGJ,Baldwin Road,Locality,46.2666670,-62.7333330,Prince Edward Island
BAAGL,Ballems Island,Island,46.5762750,-64.0882320,Prince Edward Island
BAAGO,Baltic River,River,46.5346090,-63.6736110,Prince Edward Island
BACUG,Bambrick Creek,Creek,46.3763120,-62.8580200,Prince Edward Island
BAAGP,Bangor,Locality,46.3658330,-62.6902640,Prince Edward Island
BAAGS,Banks Pond,Pond,46.6500000,-63.9500000,Prince Edward Island
BACUH,Baptiste Creek,Creek,46.5995450,-64.1134090,Prince Edward Island
BADXT,Barachois Run,Run,46.5309290,-64.1052800,Prince Edward Island
BAAGV,Barbara Weit River,River,46.4418470,-63.7017450,Prince Edward Island
BAAGW,Barlows Pond,Pond,46.4500000,-64.0000000,Prince Edward Island
BAAGY,Basin Head,Head,46.3759070,-62.1117740,Prince Edward Island
BAAHA,Basin Head Harbour,Harbour,46.3852940,-62.1129880,Prince Edward Island
BAAHB,Bass Cove,Cove,46.2157280,-63.1827160,Prince Edward Island
BAAHC,Battery Point,Point,46.2072630,-63.1258320,Prince Edward Island
BAAHD,Battery Point,Point,46.3114520,-62.9881420,Prince Edward Island
BAAHG,Bay Fortune,Locality,46.3306690,-62.3619310,Prince Edward Island
BABBF,Bay Fortune,Bay,46.3307160,-62.3541350,Prince Edward Island
BAAHE,Bayfield,Locality,46.4746220,-62.2017580,Prince Edward Island
BAAHF,Bayfield Point,Point,46.4821100,-62.2120840,Prince Edward Island
