CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
HAWAI,106-Narrow Lake-120 Road Corridor Game Preserve,Undetermined,,Game Preserve,Administrative Area,PARK,0c329ac2849c20c3036479d6684c7340,54.2833894,-104.6337670,,Saskatchewan,1000000,1985-05-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABPD,56 Trail,Undetermined,,Trail,Constructed Feature,ROAD,0c284fd2849c20c3b6a52643f1a4fec0,53.8667198,-106.4338594,"56-3,4-W3",Saskatchewan,250000,1974-05-14,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJD,Aadland Lake,Undetermined,,Lake,Water Feature,LAKE,0c282f6a849c20c394c3f04fa13e683c,59.4168647,-108.7174374,,Saskatchewan,50000,1950-06-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAYKF,Aastrom Lake,Undetermined,,Lake,Water Feature,LAKE,0fdc65dc849c20c3ad25a7134fe22b03,59.8063145,-102.7283178,,Saskatchewan,50000,2002-10-29,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJF,Abbey,Undetermined,,Village,Populated Place,VILG,0cfe44ba849c20c3fc724fabc8309129,50.7366361,-108.7575833,31-20-20-W3,Saskatchewan,1000000,1947-03-13,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJE,Abbott,Undetermined,,Railway Point,Populated Place,UNP,0c282f2b849c20c3de37bb1c29ae2456,49.5833668,-104.4005434,21-7-18-W2,Saskatchewan,250000,1950-03-02,"Saskatchewan-Ministry of Parks, Culture and Sport"
HAOSK,Abbott Creek,Undetermined,,Creek,Water Feature,RIV,547a0e4ec6cd11d892e2080020a0f4c9,50.0333867,-109.9674555,31-12-29-W3,Saskatchewan,250000,1967-03-10,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJG,Abbott Island,Undetermined,,Island,Terrain Feature,ISL,0c282faa849c20c376e5e143d2f553ad,56.7834464,-102.4337001,,Saskatchewan,250000,1960-04-07,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABJH,Abbott Lake,Undetermined,,Lake,Water Feature,LAKE,0c283027849c20c3a2a814fae871ce30,54.7667299,-102.4670833,67-4-W2,Saskatchewan,250000,1952-02-06,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABID,Abel Lake,Undetermined,,Lake,Water Feature,LAKE,0c28297f849c20c3802d95de1f04b2ff,54.4667425,-107.2172826,"63-8,9-W3",Saskatchewan,250000,1957-09-05,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKQ,Aberdeen,Undetermined,,Town,Populated Place,TOWN,47d2eb50c6cd11d892e2080020a0f4c9,52.3255360,-106.2915110,6-39-2-W3,Saskatchewan,1000000,1988-11-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATAV,Aberdeen No. 373,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c318f43849c20c378882f5b36d6cd94,52.4293846,-106.2930613,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIF,Aberfeldy,Undetermined,,Railway Point,Populated Place,UNP,0cfe42f8849c20c3eddb4af0fcb0a884,53.2500805,-109.8841140,28-49-27-W3,Saskatchewan,50000,1939-12-12,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABKP,Abernethy,Undetermined,,Village,Populated Place,VILG,0cfe466f849c20c3dfa6a406acf2e316,50.7445278,-103.4181631,25-20-11-W2,Saskatchewan,1000000,1950-05-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HATFC,Abernethy No. 186,Undetermined,,Rural Municipality,Administrative Area,MUN2,0c31a9a6849c20c383281e5faae4eb65,50.6390735,-103.4851593,,Saskatchewan,50000,1980-04-01,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIE,Abitau Bay,Undetermined,,Bay,Water Feature,BAY,0c282925849c20c368d129d31b0c1336,55.7000892,-107.7673547,,Saskatchewan,250000,1931-08-04,"Saskatchewan-Ministry of Parks, Culture and Sport"
HABIG,Abitau Bay,Undetermined,,Bay,Water Feature,BAY,0c2829c1849c20c30efb6938871cfc98,59.8500992,-109.0340301,,Saskatchewan,250000,1935-03-05,"Saskatchewan-Ministry of Parks, Culture and Sport"
