CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
KAHRO,11 Pup,Undetermined,,Pup,Terrain Feature,VALL,0c703b07849c20c395d9e352eaa0e803,63.8936111,-139.1961111,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTL,12 Pup,Undetermined,,Pup,Terrain Feature,VALL,0c703ff0849c20c312a5b7a3f9d96357,63.9497222,-138.9838889,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRP,15 Above Pup,Undetermined,,Pup,Water Feature,RIV,0cf79fe7849c20c3bee5c6d56326c801,63.9769036,-139.1314434,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTC,16 Below Pup,Undetermined,,Pup,Water Feature,RIV,0cf7a65b849c20c33dee9fb963a5c76c,63.9558333,-138.9313889,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRN,18 Gulch,Undetermined,,Gulch,Water Feature,RIV,92e02d4ac6cd11d892e2080020a0f4c9,63.9449805,-139.3205303,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHSO,19 Pup,Undetermined,,Pup,Water Feature,RIV,0cf7a39f849c20c3326de831de5aafe5,63.9183333,-139.2788889,,Yukon,50000,1983-01-17,Yukon-Department of Tourism and Culture
KAHSN,19 Pup,Undetermined,,Pup,Terrain Feature,VALL,0cf7a35e849c20c386ea35e29215f24a,63.8002778,-139.1147222,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTR,2 Below Pup,Undetermined,,Pup,Water Feature,RIV,0c704071849c20c3afec85a19067d15e,63.7711111,-138.9011111,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAGXG,20 Pup,Undetermined,,Pup,Water Feature,RIV,0c701e94849c20c3f05bff9a1230d4db,64.0441667,-139.6580556,,Yukon,250000,1969-06-23,Yukon-Department of Tourism and Culture
KAHTO,20 Pup,Undetermined,,Pup,Terrain Feature,VALL,0c704030849c20c3a1e4ee9409aeddcc,64.0236111,-139.1491667,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTN,21 Pup,Undetermined,,Pup,Terrain Feature,VALL,0cf7a875849c20c339e664b88ceb50d2,64.0230556,-139.1391667,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTQ,23 Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0cf7a90d849c20c31dcba909e058c780,63.9644444,-138.9427778,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTM,24 Pup,Undetermined,,Pup,Water Feature,RIV,0c703fae849c20c3c379d85f89e278cd,63.7086111,-138.6394444,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTP,27 Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0cf7a8cc849c20c32d1e319fa4ba8371,63.8891666,-139.2844443,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTJ,3 Below Pup,Undetermined,,Pup,Water Feature,RIV,0c703f6d849c20c333bcb398fb8c6e89,63.9452778,-138.8983333,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTH,34 Pup,Undetermined,,Pup,Water Feature,RIV,0c703f2c849c20c3b3004d6d06dbae63,63.7150000,-138.6608333,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTI,37 Pup,Undetermined,,Pup,Water Feature,RIV,0cf7a7c4849c20c32f0eb961709509f1,63.7166667,-138.6736111,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRT,4 Above Pup,Undetermined,,Pup,Water Feature,RIV,0c703b8b849c20c318a3da52bfdbf790,64.0091667,-139.0825000,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KACGE,44 Gulch,Undetermined,,Gulch,Terrain Feature,VALL,0c6f405d849c20c3357d322a98f55c64,63.9691666,-139.3630556,,Yukon,50000,1953-03-05,Yukon-Department of Tourism and Culture
KAHRR,51 Pup,Undetermined,,Pup,Water Feature,RIV,0cf7a028849c20c3c5013012cdef04fb,63.7363889,-138.6891667,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRQ,54 Pup,Undetermined,,Pup,Water Feature,RIV,0c703b49849c20c314a1bd3675de7f17,63.9894443,-139.0316666,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAFZU,65 Pup,Undetermined,,Pup,Water Feature,RIV,0cf78e44849c20c3e0b58e3b45620d78,63.8230556,-137.2902778,,Yukon,250000,1961-07-26,Yukon-Department of Tourism and Culture
KAHTD,66 Pup,Undetermined,,Pup,Water Feature,RIV,0c703ea8849c20c32fac923d4eee1772,63.7516667,-138.7080556,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHSY,7 Pup,Undetermined,,Pup,Terrain Feature,VALL,0cf7a599849c20c394b7fe019ae05178,63.9008333,-139.2150000,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHSZ,71 Pup,Undetermined,,Pup,Water Feature,RIV,0c703e65849c20c3f3fbc6fbce067caa,63.9208333,-138.6625000,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHTA,71 Pup,Undetermined,,Pup,Water Feature,RIV,0cf7a5d9849c20c3fe03886a5f4f5740,63.7547222,-138.7177778,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRL,8 Above Pup,Undetermined,,Pup,Water Feature,RIV,0c703ac5849c20c383b4c7f33c339d62,63.9844444,-139.1230556,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
KAHRM,8 Below Pup,Undetermined,,Pup,Water Feature,RIV,0cf79fa4849c20c3ddb1df5238532e03,63.8301042,-138.7133811,,Yukon,50000,1983-01-11,Yukon-Department of Tourism and Culture
